Player,MeanSpacing,UniqueECO_SubCat,UniqueECO_Cat,MostFrequentECO_Cat,MostFrequentECO_Cat_Frequency,EloChange,MostFrequentECO_Cat_Frequency_Quartile,MeanSpacing_Quartile
1001Moves,28616.3469387755,26,4,C,0.68,22,4,2
1962,43711.6326530612,30,3,C,0.44,25,2,4
26ibo26,35960.7755102041,27,4,B,0.42,-11,2,3
A-1234567,44049.4489795918,27,3,C,0.64,-6,4,4
A-king,27169.8367346939,27,5,C,0.52,-2,3,2
A0313,37874.5510204082,26,4,B,0.38,-48,1,3
A12ebrahim12,19622.1428571429,27,4,C,0.58,-55,4,1
A13601364,19464.1020408163,18,4,C,0.46,-18,2,1
A2525,40193.8571428571,20,3,B,0.5,43,3,3
A95Taha,35777.306122449,34,5,A,0.28,-11,1,3
AAAMAI,24602.1224489796,22,3,D,0.38,-8,1,1
AAR1961,28421,6,2,A,0.7,-54,4,2
AAYLV,43318.2857142857,32,4,D,0.34,-28,1,4
AA_OnTheRiver,24092.4489795918,24,5,A,0.32,-50,1,1
ABC1230,44084.8367346939,32,6,B,0.34,4,1,4
ABUANAS660,17834.9795918367,35,4,B,0.5,24,3,1
ABagh,37209.4285714286,22,4,C,0.38,42,1,3
ABalakin,10533.0408163265,34,5,B,0.44,-33,2,1
ABezukhov,27714.2040816327,20,4,B,0.58,-31,4,2
ABrmn,23064.7142857143,15,4,A,0.36,117,1,1
ABrooksy,47777.2040816326,24,4,C,0.7,32,4,4
ACHIR61,39173.2857142857,26,5,A,0.5,-148,3,3
AC_zino,28928.7346938776,18,5,C,0.56,-16,3,2
AChNOL,26298.2244897959,18,3,A,0.38,8,1,2
AChangeofSeasons,17640.3469387755,33,5,B,0.6,-10,4,1
AD2,43415.5102040816,24,6,A,0.36,17,1,4
ADAWG,22773.7959183673,18,4,A,0.6,68,4,1
ADEB,49728.4285714286,23,4,C,0.64,-83,4,4
ADEMMY,20609.6326530612,36,5,C,0.38,78,1,1
ADLAN18,19457.1020408163,34,5,D,0.34,-24,1,1
ADS-Vigevanese,29166.7551020408,20,4,A,0.52,46,3,2
ADVARDOS,45528.306122449,22,5,D,0.34,49,1,4
AEA24,29240.693877551,26,4,C,0.38,62,1,2
AEZR,29743.4489795918,21,4,D,0.38,100,1,2
AF25,33381.1020408163,23,3,B,0.38,79,1,2
AFinn,19197.7755102041,28,4,C,0.6,35,4,1
AGD2,17707.4489795918,24,4,C,0.58,-49,4,1
AGENTDouble00,27407.3469387755,24,3,B,0.6,-18,4,2
AGNN,42266.5510204082,39,5,C,0.32,13,1,4
AGUSTINCN,48986.6734693878,15,5,A,0.36,-241,1,4
AGUSTINHODU,41799.0816326531,18,3,C,0.46,20,2,4
AGuerrero,42720.0816326531,21,5,D,0.48,-76,2,4
AHMED_RAMADAN83,46131.7755102041,17,4,C,0.64,-18,4,4
AHMED_TALAAT,20496.7755102041,34,5,B,0.38,30,1,1
AH_3,37586.1020408163,22,5,A,0.44,68,2,3
AID2-2,26863.2653061224,27,4,B,0.54,-73,3,2
AJ2aj,44042.5510204082,25,5,B,0.58,-13,4,4
AJK2,28391.4285714286,32,5,D,0.46,44,2,2
AKJLGH,48305.7755102041,20,5,C,0.4,-26,1,4
AKR9957597454,32282.9591836735,20,4,B,0.46,19,2,2
AKiMaN,38958.693877551,21,4,C,0.64,-13,4,3
AL1e,29413.5918367347,32,4,C,0.46,-20,2,2
ALAIN69,17746.9591836735,9,3,A,0.4,19,1,1
ALANCABJ,43010.5510204082,26,5,C,0.32,81,1,4
ALDOTE,44587.8775510204,17,4,A,0.36,-35,1,4
ALEAKIM06,35413.4897959184,18,4,C,0.62,47,4,3
ALEJIN,28819.7142857143,30,6,B,0.34,64,1,2
ALEKSANDR7775,31758.4285714286,23,4,C,0.5,-54,3,2
ALEXBASS,28632.2653061224,23,4,C,0.52,-52,3,2
ALIBABAALI,33846.2653061225,29,4,C,0.44,-88,2,3
ALIZENNOU,18533.5102040816,27,5,B,0.48,167,2,1
ALI_1079,26575.8367346939,24,5,C,0.56,-29,3,2
ALKILAM,19408.2448979592,19,5,C,0.46,-60,2,1
ALOUZE,47788.0408163265,38,4,C,0.54,52,3,4
ALSStar,19449.9387755102,19,3,C,0.46,-6,2,1
ALVARITO297,44173.0612244898,26,5,C,0.62,-70,4,4
ALousyPlayer,47862.4693877551,24,5,A,0.46,14,2,4
AMD09271980,45594.8979591837,12,4,A,0.4,-15,1,4
AMIRZADE_2017,25607.0204081633,25,5,B,0.46,-9,2,1
AMIbrahim89,28352.5918367347,27,4,D,0.42,-26,2,2
AMPOLNUL,36878.0408163265,19,4,C,0.38,-18,1,3
AMT2020,28570.9591836735,29,4,B,0.66,114,4,2
AMagno,21209.2857142857,15,4,A,0.44,-6,2,1
AMakaB2,28715.0204081633,33,6,D,0.38,-81,1,2
ANANDHAKRISHNAN168,7051.04081632653,15,4,A,0.4,3,1,1
ANDREY_70,4201.10204081633,10,4,A,0.78,-76,4,1
ANIBAL61,48985.693877551,27,5,C,0.62,3,4,4
ANIL_78392,35288.4489795918,36,5,B,0.5,71,3,3
ANIRBAN250576,43190.1632653061,33,4,C,0.68,50,4,4
ANIRBAS,36345.612244898,28,4,C,0.44,64,2,3
ANON-X71,40338.6326530612,25,4,C,0.64,68,4,3
ANTIARMIA,44774.3265306122,28,4,C,0.46,-97,2,4
ANUPIS,28806.693877551,28,4,B,0.46,-4,2,2
AO888,38909.0408163265,21,4,C,0.48,-36,2,3
AP2812,28085.3265306122,22,5,B,0.54,-84,3,2
